"","a_log","a12","h12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-1","-2e-04","1e-04","-1","0.2","0.2","NaN","-1.47416996287852","-0.00100955412442702","-1.22878278202019","0.074710071522738","0.285173403022936","0.237270531663948","0","2069.45036443822","-1015.88399470223","615"
"2","-1","-5e-05","1e-04","-5","0.2","0.2","NaN","0.446356747346081","-0.903585086605213","-4.9775997052196","0.313538729380791","0.285842119553175","0.242786592617595","0","2085.86335843558","-1024.09049170091","120"
"3","-2","1e-04","-2e-04","-2","0.2","0.2","NaN","-2.19058692921533","-0.000225319881140941","-1.66976743577906","-0.000740679237201972","0.229205432940931","0.246515985846764","0","1829.77599347335","-896.046809219795","448"
"4","-1.5","-0.00035","-0.00035","-2","0.2","0.2","NaN","-1.92226944056437","-0.000312212543645362","-1.31535452776994","-0.0010255081079965","0.239405762389331","0.242308597208134","0","1864.82298092747","-913.570302946855","409"
"5","-2","-5e-04","-0.00035","-4","0.2","0.2","NaN","-2.29982624901942","-0.000196923171266412","-3.78905129291875","0.000200432346251556","0.212231870848875","0.242609555795378","0","1767.5484144413","-864.933019703769","153"
"6","-1.5","1e-04","-2e-04","-2","0.2","0.2","NaN","-1.56946845396297","-0.00057548634094733","-2.86114621631494","0.00262455733127717","0.235785554516191","0.237304741565058","0","1937.89258618508","-950.105105575658","449"
"7","-3","-2e-04","1e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","486"
"8","-2","-5e-05","-0.00035","-1","0.2","0.2","NaN","-2.35335844692751","-0.000188465444454188","-4.38373553417953","0.000217675989295546","0.213838423178503","0.240105456215856","0","1773.01012300397","-867.663873985105","543"
"9","-2.5","-2e-04","-5e-04","-1","0.2","0.2","NaN","-2.58054046799138","-0.000134791178593667","-3.24037657242364","-6.59440256932395e-05","0.2243492579203","0.243730636539051","0","1792.33871585453","-877.328170410387","512"
"10","-1.5","-2e-04","-2e-04","-4","0.2","0.2","NaN","0.675997147828486","-1.26571276375804","-4.5272791863873","0.312995005981709","0.285679511035261","0.242827701846542","0","2085.9322532982","-1024.12493913222","189"
"11","-2.5","-2e-04","1e-04","-4","0.2","0.2","NaN","-2.25757073471218","-0.000211810531134319","-3.48155907586467","0.000145566176606706","0.220375562419057","0.20341578206264","0","1805.8719711645","-884.094798065372","237"
"12","-1.5","-5e-05","-5e-04","-3","0.2","0.2","NaN","-1.56235270032973","-0.000417070052105313","-2.98024609900395","0.152662499929645","0.284555754047683","0.241033290465571","0","2063.83796399254","-1013.07779447939","269"
"13","-3","-2e-04","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","511"
"14","-3","-5e-05","-2e-04","-3","0.2","0.2","NaN","-2.25057570782301","-0.000210406685941902","-3.15669070647589","3.56478711070998e-05","0.212426242111115","0.242700042344627","0","1767.93634946718","-865.126987216711","316"
"15","-2.5","1e-04","-5e-05","-2","0.2","0.2","NaN","-2.20714612425935","-0.000221529008379173","-1.88641861138394","-0.000577783376485526","0.221571424640125","0.24350566494478","0","1813.96863794857","-888.143131457404","472"
"16","-1","1e-04","1e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","500"
"17","-3","-2e-04","1e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","611"
"18","-1","-5e-04","-5e-05","-3","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","330"
"19","-2","-5e-04","-0.00035","-5","0.2","0.2","NaN","-1.58728166534388","-0.000414299622210273","-5.0623396796988","0.00262346656034207","0.309960834395814","0.246390611083148","0","2004.32542264573","-983.321523805986","28"
"20","-1.5","-2e-04","-5e-05","-5","0.2","0.2","NaN","-1.65383614803831","-0.000662944180946714","-4.71511167247467","0.193996840597968","0.290387182529523","0.246783761992876","0","2074.37004688534","-1018.34383592579","89"
"21","-2.5","-5e-04","-5e-04","-5","0.2","0.2","NaN","-2.36017311517573","-0.000180363674280349","-4.72935548867495","0.000351758406489978","0.214247495132705","0.242366066711299","0","1774.90933084744","-868.613477906839","2"
"22","-2","-5e-05","-2e-04","-4","0.2","0.2","NaN","-2.34095771581116","-0.000306931191795787","-4.73316202306201","0.00312943896129539","0.231741005205066","0.241925053889684","0","1893.98882702204","-928.153225994137","193"
"23","-3","-0.00035","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","531"
"24","-3","-2e-04","-5e-05","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","586"
"25","-3","-0.00035","1e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","481"
"26","-1","-5e-04","1e-04","-3","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","355"
"27","-2.5","-5e-04","-5e-05","-4","0.2","0.2","NaN","-2.35584455675739","-0.000183934265698934","-3.66297862383321","0.000127273592614245","0.215181708229018","0.241097761926594","0","1768.25955677796","-865.288590872097","202"
"28","-1.5","-5e-05","1e-04","-2","0.2","0.2","NaN","-2.21370711972822","-0.000220715442957354","-2.01404368729359","-0.000482666421580697","0.248040058462255","0.267906365624287","0","1829.85342581252","-896.085525389379","494"
"29","-3","-5e-04","-2e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","426"
"30","-2","-5e-05","-5e-04","-5","0.2","0.2","NaN","-2.23507964245084","-0.000211239186336917","-5.54950009186453","0.00060307192467626","0.225255157401117","0.273831680418199","0","1803.43266356555","-882.875144265896","18"
"31","-3","-0.00035","1e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","606"
"32","-2.5","-0.00035","-5e-05","-5","0.2","0.2","NaN","-2.37791299176532","-0.000175611322807949","-4.91994143117882","0.000365712865040439","0.213983515317626","0.242536056306196","0","1776.46822607902","-869.392925522627","82"
"33","-2","-0.00035","1e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","483"
"34","-1.5","-5e-04","-2e-04","-1","0.2","0.2","NaN","-1.92963463233779","-0.000291400355522666","-0.999428645672421","0.0642178067954122","0.282093037291206","0.2402786744397","0","2063.86957657649","-1013.09360077137","554"
"35","-3","1e-04","-2e-04","-5","0.2","0.2","NaN","-3.79819335779467","0.382479401706125","-5.93094226453944","0.304351129011258","0.285749593493893","0.24278305538679","0","2085.32172478136","-1023.8196748738","71"
"36","-3","-0.00035","-2e-04","-4","0.2","0.2","NaN","-2.28093188982972","-0.000202303687223089","-3.4775159758266","0.000122401759450572","0.212135806950243","0.242649248480638","0","1766.66233190093","-864.489978433586","181"
"37","-1","-0.00035","-0.00035","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","410"
"38","-2","-0.00035","-5e-05","-3","0.2","0.2","NaN","-2.28133952527911","-0.000202191906068218","-3.47908559001426","0.000122418616514523","0.212112069663077","0.242618557153582","0","1766.66242070305","-864.490022834643","333"
"39","-1","1e-04","-5e-05","-3","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","350"
"40","-2","-5e-04","-5e-04","-4","0.2","0.2","NaN","-2.29088542675366","-0.000199564697601797","-3.58449608704401","0.000147760382185283","0.212135764816525","0.242658698469672","0","1766.78011266217","-864.548868814204","128"
"41","-2","1e-04","1e-04","-4","0.2","0.2","NaN","-2.27216812000026","-0.000204561843489635","-3.40863595206617","0.00010754860768021","0.212364460614638","0.242161369335352","0","1766.72213687443","-864.519880920334","248"
"42","-3","-2e-04","-5e-05","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","461"
"43","-2.5","-5e-04","-0.00035","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","402"
"44","-1.5","-0.00035","-5e-04","-4","0.2","0.2","NaN","1.53443037182723","-3.76674862459227","-9.30737014540573","0.311511379339426","0.285767371243854","0.242785859850241","0","2085.57004440043","-1023.94383468334","134"
"45","-1","-5e-04","-2e-04","-4","0.2","0.2","NaN","0.480634172636537","-0.883555485068767","-4.46118040500468","0.31451089468336","0.285934780295204","0.242802288361368","0","2086.00329579829","-1024.16046038227","180"
"46","-1","1e-04","-0.00035","-4","0.2","0.2","NaN","0.897484673795423","-1.69794123614189","-4.35809424146048","0.312858938854814","0.285880724692455","0.242748943307997","0","2085.96244654263","-1024.14003575443","175"
"47","-1","1e-04","-5e-04","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","525"
"48","-2.5","-0.00035","1e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","482"
"49","-3","-5e-05","1e-04","-3","0.2","0.2","NaN","-2.25301612145364","-0.000207563835644751","-3.19530268172824","4.68626767463493e-05","0.212909613434814","0.243043009678715","0","1767.67612298506","-864.996873975649","366"
"50","-2","-5e-05","-2e-04","-2","0.2","0.2","NaN","-1.99176791845556","-0.000282956392394122","-2.66911715894218","2.23604732108002e-05","0.217175308918539","0.240301097817299","0","1790.6820292317","-876.499827098969","443"
"51","-2","-0.00035","-0.00035","-5","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","33"
"52","-1.5","-0.00035","1e-04","-3","0.2","0.2","NaN","-1.94266143270489","-0.000426539603934372","-2.50050541078497","0.00266091793900515","0.242533169786902","0.24321242471511","0","1901.38650570664","-931.852065336438","359"
"53","-2.5","-5e-04","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","502"
"54","-1","1e-04","1e-04","-5","0.2","0.2","NaN","0.408244837534431","-0.852647375909907","-4.95759812805054","0.313454895945485","0.285787763854309","0.242806000197861","0","2085.8753092544","-1024.09646711032","125"
"55","-2","1e-04","-5e-05","-3","0.2","0.2","NaN","-2.18418507873952","-0.000226151593077227","-4.1975982520074","0.000428045781075195","0.2178292033081","0.258090625563539","0","1780.96452075664","-871.641072861441","348"
"56","-2","-0.00035","-2e-04","-3","0.2","0.2","NaN","-2.2813080493688","-0.000202018790837414","-3.48144916063898","0.000121252720469479","0.212058569831598","0.242491299511228","0","1766.66393490072","-864.490779933477","308"
"57","-1.5","-5e-05","-5e-04","-1","0.2","0.2","NaN","-1.96017430898046","-0.000466175143430724","-4.23624120095007","0.0549400813055065","0.274649788232411","0.243110188778554","0","2047.88774825915","-1005.10268661269","519"
"58","-1.5","-0.00035","-5e-04","-5","0.2","0.2","NaN","-1.15532430355964","-0.00175257130826843","-4.78496025655316","0.160014813786602","0.285695962634853","0.241335012232185","0","2072.38365645581","-1017.35064071103","9"
"59","-3","1e-04","1e-04","-1","0.2","0.2","NaN","-2.26759057610497","-0.000206555043922023","-3.38158467261724","0.000100240908047771","0.212269938447862","0.24373710969392","0","1766.79802973031","-864.557827348276","621"
"60","-2","-2e-04","-0.00035","-1","0.2","0.2","NaN","-2.28102271334024","-0.000202298390921976","-3.47518145561939","0.000121503855371816","0.212136066456613","0.242613540617936","0","1766.66239283797","-864.490008902105","538"
"61","-1.5","-5e-04","-0.00035","-1","0.2","0.2","NaN","-1.99512789818515","-0.000387240654905747","-1.00263254723935","0.00262174328005428","0.258914877528865","0.242691025088729","0","1980.08027846674","-971.198951716492","529"
"62","-1.5","1e-04","1e-04","-2","0.2","0.2","NaN","-2.03855551999257","-0.000270784137268261","-1.83231291170945","-0.000549111623117844","0.223266425214272","0.247212824858138","0","1819.11827210969","-890.717948537962","499"
"63","-2.5","-0.00035","-0.00035","-4","0.2","0.2","NaN","-2.28068416662475","-0.000202349956389648","-3.47535529285871","0.000121837249564846","0.212158147607975","0.242627421869369","0","1766.66236201531","-864.489993490773","157"
"64","-2.5","-2e-04","-5e-04","-5","0.2","0.2","NaN","-2.46348237956986","-0.000155839788682736","-4.56578488550237","0.000246669435719747","0.213133653825782","0.242589202520279","0","1776.96110322742","-869.639364096829","12"
"65","-1","1e-04","-0.00035","-3","0.2","0.2","NaN","-1.1494945061651","-0.0030899099185527","-3.07115700576317","0.138765516274152","0.281815173379341","0.243878079154737","0","2061.64312268972","-1011.98037382798","300"
"66","-2.5","-5e-04","-2e-04","-3","0.2","0.2","NaN","-2.27773316071703","-0.000203889235131716","-3.48987089126369","0.000114180094217645","0.212412257371958","0.242400340790227","0","1766.7014941475","-864.509559556868","302"
"67","-3","-5e-04","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","526"
"68","-3","-5e-05","-5e-05","-3","0.2","0.2","NaN","-2.26627574030258","-0.000206658784889255","-3.34266261381465","8.91020126809733e-05","0.212305048634931","0.242814059610035","0","1766.87337496204","-864.595499964141","341"
"69","-3","1e-04","-0.00035","-4","0.2","0.2","NaN","-1.68887869081752","-0.000368380870323701","-4.67935723482991","0.0741697419304344","0.264794029526107","0.246150046928031","0","2047.23289156207","-1004.77525826416","171"
"70","-2.5","-5e-05","-0.00035","-2","0.2","0.2","NaN","-2.28102285294402","-0.000202263077811246","-3.47755385045677","0.000122214926426918","0.212124580452779","0.242625623866814","0","1766.66233327357","-864.489979119905","417"
"71","-1.5","1e-04","-5e-05","-3","0.2","0.2","NaN","-1.40617149044164","-0.000488358616840229","-3.0761187639415","0.103026689360618","0.283542699955449","0.243176044956451","0","2060.8311054276","-1011.57436519692","349"
"72","-1.5","-2e-04","-0.00035","-4","0.2","0.2","NaN","1.49597684216481","-3.611354863863","-3091.35295708444","0.311333117877415","0.285808374098488","0.242754106736327","0","2085.56726227259","-1023.94244361941","164"
"73","-1","-0.00035","1e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","485"
"74","-3","1e-04","-0.00035","-1","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","546"
"75","-2.5","-0.00035","-0.00035","-5","0.2","0.2","NaN","-2.37901122066941","-0.000175783682518497","-4.64351172862113","0.000326708531028075","0.213262367964767","0.245783997140919","0","1774.55636864985","-868.436996808043","32"
"76","-2.5","-5e-05","-0.00035","-4","0.2","0.2","NaN","-1.6451762524756","-0.000384360580591777","-6.13190918644108","0.0819291621210023","0.270772252910111","0.231477677556316","0","2055.8824980995","-1009.10006153287","167"
"77","-1","-5e-05","1e-04","-3","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","370"
"78","-3","-2e-04","1e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","236"
"79","-2.5","-0.00035","-2e-04","-3","0.2","0.2","NaN","-2.28182576183024","-0.000213246560615145","-4.90162778919701","0.000503201868611589","0.214903860323552","0.242458755434626","0","1779.52116834909","-870.919396657665","307"
"80","-1.5","-2e-04","-5e-05","-3","0.2","0.2","NaN","-1.99116461187425","-0.000411222531657584","-3.31620271685758","0.00275523504383766","0.236307938043038","0.242102931238769","0","1883.42248436513","-922.870054665685","339"
