a_log,a12,h12,h_log,sigma,sigma2,error,a_log.est,a12.est,h_log.est,h12.est,sigma.est,sigma2.est,converge,BIC,logLik,strtpt
-1,-2e-04,1e-04,-1,0.2,0.2,,-1.4123475071242,-0.0015520293879145,-0.898879294731156,0.11552311938937,0.280079665057614,0.243279717678579,0,2060.02953263407,-1011.17357880016,615
-1,-5e-05,1e-04,-5,0.2,0.2,,1.46702305085387,-3.51841558975409,-8.81451519447015,0.32434605172479,0.281236874401305,0.242811953003616,0,2068.89392262614,-1015.60577379619,120
-2,1e-04,-2e-04,-2,0.2,0.2,,-2.16387067697559,-0.000231963541986544,-1.78267885054988,-0.000625684031293843,0.222818873260141,0.254591770659454,0,1815.40126493225,-888.859444949245,448
-1.5,-0.00035,-0.00035,-2,0.2,0.2,,-2.08808792010126,-0.000254006518851637,-1.61128776578321,-0.000748045180766878,0.224339297681976,0.244065369342882,0,1826.03913508267,-894.178380024455,409
-2,-5e-04,-0.00035,-4,0.2,0.2,,-2.31726756164089,-0.000192356465934488,-3.33688436820721,8.11295109973619e-05,0.211733436947028,0.242732168534271,0,1765.13227722761,-863.724951096927,153
-1.5,1e-04,-2e-04,-2,0.2,0.2,,-1.54663031916586,-0.00042566120817298,-1.94967532269425,0.100358375107478,0.277691343091987,0.241811684021254,0,2046.02158723688,-1004.16960610156,449
-3,-2e-04,1e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,486
-2,-5e-05,-0.00035,-1,0.2,0.2,,-2.03636669679885,-0.000269039084012989,-0.981099515151934,-0.00154855764329416,0.236786023248982,0.243090352879079,0,1877.62849091738,-919.973057941807,543
-2.5,-2e-04,-5e-04,-1,0.2,0.2,,-2.16502371895927,-0.000230538354768722,-0.999657445578275,-0.00156005557449595,0.234299967133634,0.242866397962049,0,1873.67829205827,-917.997958512252,512
-1.5,-2e-04,-2e-04,-4,0.2,0.2,,1.04966858492306,-2.17632385036839,-11.8729765775483,0.324879397291199,0.281373209045625,0.243048244871088,0,2068.90132494478,-1015.60947495551,189
-2.5,-2e-04,1e-04,-4,0.2,0.2,,-2.3342184470216,-0.00018593073636941,-3.49886042683275,0.000131049665040121,0.22435425868952,0.207244774766968,0,1798.17841231892,-880.248018642578,237
-1.5,-5e-05,-5e-04,-3,0.2,0.2,,-2.32439696852435,-0.000190169496692614,-3.59557235219156,0.000156056918477954,0.212721992033797,0.241496817284687,0,1765.31068123256,-863.814153099397,269
-3,-2e-04,-5e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,511
-3,-5e-05,-2e-04,-3,0.2,0.2,,-2.3443394117101,-0.000185137860573889,-3.57360888009684,0.000135881320775764,0.211774069357448,0.242718940578103,0,1765.13150663277,-863.724565799507,316
-2.5,1e-04,-5e-05,-2,0.2,0.2,,-2.16925102745097,-0.000230391098278287,-2.0637365075445,-0.00043240761521653,0.216271397259928,0.241036978960681,0,1796.94152081903,-879.629572892632,472
-1,1e-04,1e-04,-2,0.2,0.2,,-1.13485709301845,-0.000639433162243356,-1.99469036400392,0.196051131083476,0.279591476202483,0.244275872649941,0,2060.60795066572,-1011.46278781598,500
-3,-2e-04,1e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,611
-1,-5e-04,-5e-05,-3,0.2,0.2,,,,,,,,,,,330
-2,-5e-04,-0.00035,-5,0.2,0.2,,-1.31152720201116,-0.000535298533822912,-6.26477392462467,0.164811983876931,0.279568437783339,0.242395947102503,0,2049.03116147443,-1005.67439322034,28
-1.5,-2e-04,-5e-05,-5,0.2,0.2,,1.29449591827647,-2.9048477217653,-181.161894474021,0.323426326289244,0.281170576258912,0.242833970278968,0,2068.89037409519,-1015.60399953071,89
-2.5,-5e-04,-5e-04,-5,0.2,0.2,,-2.4278274028604,-0.000163521455045619,-4.61960988590199,0.000312387607085136,0.212925786321334,0.242526703961591,0,1772.07416853331,-867.195896749776,2
-2,-5e-05,-2e-04,-4,0.2,0.2,,-1.82944696098201,-0.000334980798826774,-1.89688468812773,-0.00030775426410292,0.223251936916264,0.293181362947027,0,1870.91031325023,-916.613969108236,193
-3,-0.00035,-0.00035,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,531
-3,-2e-04,-5e-05,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,586
-3,-0.00035,1e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,481
-1,-5e-04,1e-04,-3,0.2,0.2,,,,,,,,,,,355
-2.5,-5e-04,-5e-05,-4,0.2,0.2,,-2.38144510693546,-0.000175171080682796,-4.2089435820827,0.00027106775829501,0.212923400053512,0.240078522531577,0,1768.8395887312,-865.578606848717,202
-1.5,-5e-05,1e-04,-2,0.2,0.2,,-1.49856784671398,-0.000446732692022407,-1.80819319270274,0.0635150234479843,0.284604070760804,0.242813332456635,0,2045.91308548453,-1004.11535522538,494
-3,-5e-04,-2e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,426
-2,-5e-05,-5e-04,-5,0.2,0.2,,-1.24873629740036,-0.00158129244910631,-7.31940768212739,0.176010995488788,0.277440656419443,0.241075371926311,0,2055.74919136712,-1009.03340816668,18
-3,-0.00035,1e-04,-1,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,606
-2.5,-0.00035,-5e-05,-5,0.2,0.2,,-2.43124307220598,-0.000162270160433567,-4.83477693041441,0.000341586863306956,0.213312865402296,0.242487040934918,0,1773.62192304633,-867.969774006286,82
-2,-0.00035,1e-04,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,483
-1.5,-5e-04,-2e-04,-1,0.2,0.2,,,,,,,,,,,554
-3,1e-04,-2e-04,-5,0.2,0.2,,-2.86796089112525,0.286466795506263,-4.9501005691864,0.313036856013998,0.281244307023571,0.242839675058442,0,2068.74094296436,-1015.5292839653,71
-3,-0.00035,-2e-04,-4,0.2,0.2,,-2.36023174419585,-0.000181083814474062,-3.90067146972231,0.000212135388738808,0.212115199969806,0.242384701600656,0,1766.55516850431,-864.436396735276,181
-1,-0.00035,-0.00035,-2,0.2,0.2,,-1.2310450928586,-0.0028346651398885,-1.93193504078673,0.141794673316445,0.279134720832957,0.242232240822569,0,2058.69628043239,-1010.50695269932,410
-2,-0.00035,-5e-05,-3,0.2,0.2,,-2.33086212876697,-0.000188869386568335,-3.45170707654186,0.000107505161948831,0.21174175102484,0.242707251880575,0,1764.98969680517,-863.653660885703,333
-1,1e-04,-5e-05,-3,0.2,0.2,,,,,,,,,,,350
-2,-5e-04,-5e-04,-4,0.2,0.2,,-2.46765964800922,-0.000151970739262037,-6.63750870870453,0.000444170480110448,0.216696894460015,0.242801410294107,0,1781.4808650945,-871.89924503037,128
-2,1e-04,1e-04,-4,0.2,0.2,,-2.30970224379776,-0.00019409708057189,-3.44140006955601,0.000119147319812495,0.211121185769462,0.245774387040927,0,1765.28134142272,-863.799483194477,248
-3,-2e-04,-5e-05,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,461
-2.5,-5e-04,-0.00035,-2,0.2,0.2,function cannot be evaluated at initial parameters,,,,,,,,,,402
-1.5,-0.00035,-5e-04,-4,0.2,0.2,,1.39760400873148,-3.25898992578724,-12.9225102149963,0.323851049652416,0.281228489137544,0.24287799762113,0,2068.88938949721,-1015.60350723173,134
-1,-5e-04,-2e-04,-4,0.2,0.2,,0.349769907886614,-0.72542317770887,-4.44984344313104,0.328725102649519,0.281335860284977,0.242767256961874,0,2069.32381287947,-1015.82071892285,180
